dates,flows
1997-01-01 07:30:00,5.949074074074074
1997-01-02 07:30:00,1.6550925925925926
1997-01-03 07:30:00,0.6284722222222222
1997-01-04 07:30:00,0.34953703703703703
1997-01-05 07:30:00,0.26851851851851855
1997-01-06 07:30:00,0.2349537037037037
1997-01-07 07:30:00,0.2152777777777778
1997-01-08 07:30:00,0.21296296296296297
1997-01-09 07:30:00,0.19791666666666666
1997-01-10 07:30:00,0.18171296296296297
1997-01-11 07:30:00,0.16550925925925927
1997-01-12 07:30:00,0.15393518518518517
1997-01-13 07:30:00,0.1412037037037037
1997-01-14 07:30:00,0.1284722222222222
1997-01-15 07:30:00,0.11689814814814815
1997-01-16 07:30:00,0.10527831758101852
1997-01-17 07:30:00,0.09598217288194442
1997-01-18 07:30:00,0.08850916539351852
1997-01-19 07:30:00,0.08195728162037037
1997-01-20 07:30:00,0.07521067704861112
1997-01-21 07:30:00,0.06920269387731483
1997-01-22 07:30:00,0.06372209518518518
1997-01-23 07:30:00,0.06025891081018519
1997-01-24 07:30:00,0.05741682618055555
1997-01-25 07:30:00,0.05489580479166667
1997-01-26 07:30:00,0.05217840987268518
1997-01-27 07:30:00,0.049201953090277785
1997-01-28 07:30:00,0.04815313509259259
1997-01-29 07:30:00,0.04738605350694445
1997-01-30 07:30:00,0.04664884236111111
1997-01-31 07:30:00,0.053939550601851856
1997-02-01 07:30:00,0.04797088909722222
1997-02-02 07:30:00,0.04554398100694444
1997-02-03 07:30:00,0.044375865266203705
1997-02-04 07:30:00,0.043544633761574074
1997-02-05 07:30:00,0.04279388372685185
1997-02-06 07:30:00,0.042700027696759256
1997-02-07 07:30:00,0.041638240520833335
1997-02-08 07:30:00,0.04073848356481481
1997-02-09 07:30:00,0.039975167430555555
1997-02-10 07:30:00,0.03925983230324074
1997-02-11 07:30:00,0.03856696103009259
1997-02-12 07:30:00,0.037929548101851854
1997-02-13 07:30:00,0.037301132442129625
1997-02-14 07:30:00,0.03668030791666666
1997-02-15 07:30:00,0.036067497986111106
1997-02-16 07:30:00,0.035459316666666664
1997-02-17 07:30:00,0.034858957604166664
1997-02-18 07:30:00,0.03426579684027778
1997-02-19 07:30:00,0.03367990618055555
1997-02-20 07:30:00,0.03310868581018519
1997-02-21 07:30:00,0.032620339618055556
1997-02-22 07:30:00,0.03215168268518519
1997-02-23 07:30:00,0.03168867962962963
1997-02-24 07:30:00,0.031230124525462966
1997-02-25 07:30:00,0.03077542150462963
1997-02-26 07:30:00,0.030325079467592594
1997-02-27 07:30:00,0.02987912652777778
1997-02-28 07:30:00,0.029437599849537036
1997-03-01 07:30:00,0.029000634166666664
1997-03-02 07:30:00,0.028568054108796297
1997-03-03 07:30:00,0.02814010712962963
1997-03-04 07:30:00,0.02771677898148148
1997-03-05 07:30:00,0.0272980903125
1997-03-06 07:30:00,0.02688406174768519
1997-03-07 07:30:00,0.02647470871527778
1997-03-08 07:30:00,0.02607004133101852
1997-03-09 07:30:00,0.025670064745370372
1997-03-10 07:30:00,0.02549131712962963
1997-03-11 07:30:00,0.025052807106481483
1997-03-12 07:30:00,0.024656794201388887
1997-03-13 07:30:00,0.024270661550925925
1997-03-14 07:30:00,0.023889882025462963
1997-03-15 07:30:00,0.02351392289351852
1997-03-16 07:30:00,0.02314270145833333
1997-03-17 07:30:00,0.022776186631944445
1997-03-18 07:30:00,0.02241435179398148
1997-03-19 07:30:00,0.02205716935185185
1997-03-20 07:30:00,0.021704610277777776
1997-03-21 07:30:00,0.021356644143518518
1997-03-22 07:30:00,0.02101323929398148
1997-03-23 07:30:00,0.02067436296296296
1997-03-24 07:30:00,0.02033998141203704
1997-03-25 07:30:00,0.020010060023148146
1997-03-26 07:30:00,0.019692661724537038
1997-03-27 07:30:00,0.01943893091435185
1997-03-28 07:30:00,0.01919488023148148
1997-03-29 07:30:00,0.018953550925925926
1997-03-30 07:30:00,0.01871427039351852
1997-03-31 07:30:00,0.01847676226851852
1997-04-01 07:30:00,0.01824106641203704
1997-04-02 07:30:00,0.01800720162037037
1997-04-03 07:30:00,0.01777518136574074
1997-04-04 07:30:00,0.01754501773148148
1997-04-05 07:30:00,1.0243055555555556
1997-04-06 07:30:00,0.6724537037037037
1997-04-07 07:30:00,0.3460648148148148
1997-04-08 07:30:00,0.15046296296296297
1997-04-09 07:30:00,0.07495908998842592
1997-04-10 07:30:00,0.04817198637731482
1997-04-11 07:30:00,0.039088274224537034
1997-04-12 07:30:00,0.03594290961805555
1997-04-13 07:30:00,0.034690903981481475
1997-04-14 07:30:00,0.034005428067129626
1997-04-15 07:30:00,0.03347829914351852
1997-04-16 07:30:00,0.03300271081018519
1997-04-17 07:30:00,0.03252548908564815
1997-04-18 07:30:00,0.032058413796296294
1997-04-19 07:30:00,0.031594544490740735
1997-04-20 07:30:00,0.031133281180555555
1997-04-21 07:30:00,0.030674741840277776
1997-04-22 07:30:00,0.030219376030092598
1997-04-23 07:30:00,0.029766877719907405
1997-04-24 07:30:00,0.029317980266203705
1997-04-25 07:30:00,0.028872849236111116
1997-04-26 07:30:00,0.028809931331018515
1997-04-27 07:30:00,0.03188525743055556
1997-04-28 07:30:00,0.02940259011574074
1997-04-29 07:30:00,0.027929272164351853
1997-04-30 07:30:00,0.027134638576388887
1997-05-01 07:30:00,0.026600671018518516
1997-05-02 07:30:00,0.026150648993055553
1997-05-03 07:30:00,0.025727587638888893
1997-05-04 07:30:00,0.02531514019675926
1997-05-05 07:30:00,0.02490897851851852
1997-05-06 07:30:00,0.02450802476851852
1997-05-07 07:30:00,0.024112029502314815
